student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob
1,GP,F,18,U,GT3,A,4,4,at_home,teacher
2,GP,F,17,U,GT3,T,1,1,at_home,other
3,GP,F,15,U,LE3,T,1,1,at_home,other
4,GP,F,15,U,GT3,T,4,2,health,services
5,GP,F,16,U,GT3,T,3,3,other,other
6,GP,M,16,U,LE3,T,4,3,services,other
7,GP,M,16,U,LE3,T,2,2,other,other
8,GP,F,17,U,GT3,A,4,4,other,teacher
9,GP,M,15,U,LE3,A,3,2,services,other
10,GP,M,15,U,GT3,T,3,4,other,other
11,GP,F,15,U,GT3,T,4,4,teacher,health
12,GP,F,15,U,GT3,T,2,1,services,other
13,GP,M,15,U,LE3,T,4,4,health,services
14,GP,M,15,U,GT3,T,4,3,teacher,other
15,GP,M,15,U,GT3,A,2,2,other,other
16,GP,F,16,U,GT3,T,4,4,health,other
17,GP,F,16,U,GT3,T,4,4,services,services
18,GP,F,16,U,GT3,T,3,3,other,other
19,GP,M,17,U,GT3,T,3,2,services,services
20,GP,M,16,U,LE3,T,4,3,health,other
21,GP,M,15,U,GT3,T,4,3,teacher,other
22,GP,M,15,U,GT3,T,4,4,health,health
23,GP,M,16,U,LE3,T,4,2,teacher,other
24,GP,M,16,U,LE3,T,2,2,other,other
25,GP,F,15,R,GT3,T,2,4,services,health
26,GP,F,16,U,GT3,T,2,2,services,services
27,GP,M,15,U,GT3,T,2,2,other,other
28,GP,M,15,U,GT3,T,4,2,health,services
29,GP,M,16,U,LE3,A,3,4,services,other
30,GP,M,16,U,GT3,T,4,4,teacher,teacher
31,GP,M,15,U,GT3,T,4,4,health,services
32,GP,M,15,U,GT3,T,4,4,services,services
33,GP,M,15,R,GT3,T,4,3,teacher,at_home
34,GP,M,15,U,LE3,T,3,3,other,other
35,GP,M,16,U,GT3,T,3,2,other,other
36,GP,F,15,U,GT3,T,2,3,other,other
37,GP,M,15,U,LE3,T,4,3,teacher,services
38,GP,M,16,R,GT3,A,4,4,other,teacher
39,GP,F,15,R,GT3,T,3,4,services,health
40,GP,F,15,R,GT3,T,2,2,at_home,other
41,GP,F,16,U,LE3,T,2,2,other,other
42,GP,M,15,U,LE3,T,4,4,teacher,other
43,GP,M,15,U,GT3,T,4,4,services,teacher
44,GP,M,15,U,GT3,T,2,2,services,services
45,GP,F,16,U,LE3,T,2,2,other,at_home
46,GP,F,15,U,LE3,A,4,3,other,other
47,GP,F,16,U,LE3,A,3,3,other,services
48,GP,M,16,U,GT3,T,4,3,health,services
49,GP,M,15,U,GT3,T,4,2,teacher,other
50,GP,F,15,U,GT3,T,4,4,services,teacher
51,GP,F,16,U,LE3,T,2,2,services,services
52,GP,F,15,U,LE3,T,4,2,health,other
53,GP,M,15,U,LE3,A,4,2,health,health
54,GP,F,15,U,GT3,T,4,4,services,services
55,GP,F,15,U,LE3,A,3,3,other,other
56,GP,F,16,U,GT3,A,2,1,other,other
57,GP,F,15,U,GT3,A,4,3,services,services
58,GP,M,15,U,GT3,T,4,4,teacher,health
